price,timestamp,price_date
105611.5739729221,1.738263840127E9,2025-01-30
102245.25754593858,1.738130636698E9,2025-01-29
104217.79035004404,1.738310921111E9,2025-01-31
104614.28446002454,1.738332238995E9,2025-01-31
97793.53821562871,1.738530045736E9,2025-02-02
102563.30480114298,1.738069431078E9,2025-01-28
105033.27812610562,1.738242237467E9,2025-01-30
100109.60169399311,1.738609737978E9,2025-02-03
102922.52934594444,1.738040633425E9,2025-01-28
104747.03513533014,1.737810220199E9,2025-01-25
101598.16372711949,1.73835742625E9,2025-01-31
99342.03532242186,1.738494186477E9,2025-02-02
94721.98536030206,1.738591436837E9,2025-02-03
104310.04406200137,1.738318115249E9,2025-01-31
104859.2039947492,1.738285438232E9,2025-01-31
100522.89746094769,1.738451027631E9,2025-02-01
100355.30821794734,1.738479643585E9,2025-02-02
99593.13977161376,1.738483438356E9,2025-02-02
101433.10979499303,1.738030108168E9,2025-01-28
98707.16429232086,1.738663720006E9,2025-02-04
102784.33565971034,1.738065831865E9,2025-01-28
101972.19437391097,1.738123295472E9,2025-01-29
104977.34707393417,1.737875027383E9,2025-01-26
105012.99705012147,1.737882191555E9,2025-01-26
105294.1238143463,1.73823868407E9,2025-01-30
103621.21550924935,1.738180883403E9,2025-01-29
99306.8359207168,1.738512098424E9,2025-02-02
104322.52268544042,1.737788612346E9,2025-01-25
104318.97199786601,1.737795647056E9,2025-01-25
102592.05437467458,1.738036887356E9,2025-01-28
102475.68101584575,1.738389832868E9,2025-02-01
101860.22271648972,1.738418503267E9,2025-02-01
102298.89275485853,1.738083844551E9,2025-01-28
99207.7117070122,1.738688494919E9,2025-02-04
105031.3530846565,1.738274621158E9,2025-01-30
97690.61739242118,1.738710115641E9,2025-02-04
99264.17133349284,1.737964825454E9,2025-01-27
102766.35271308372,1.738051424184E9,2025-01-28
104918.25372650998,1.737911025092E9,2025-01-26
102101.49013927419,1.738022596719E9,2025-01-28
104062.16245379577,1.738202952032E9,2025-01-30
