tx_hash,time,size,fee_usd,input_count,output_count,input_total_usd,output_total_usd
ec1a731fc8bcc599e29eee250cb9a3a316ade36e978989f75c38c5beb9cc17fc,2025-04-02 01:36:42,328,0.13036212,1,1,0.41153532,0.2811732
d5a8928f50ff201c2fef36be23854c20ce078c39ab778f6b11f383e9c9aedefa,2025-04-02 01:36:42,194,0.09628052,1,1,776.38995,776.29364
39b3ec55f6df19b6971ef57ebec0d969dc4feba557954c07911439ff357e55fa,2025-04-02 01:36:42,408,0.21982633,3,2,528.4556,528.23584
26ef3dda645b8f6250ebc3e5c3555991e9e0685bcfd2cbfcad5329baaae849fa,2025-04-02 01:36:42,330,0.13036212,1,1,0.595576,0.46521384
fe1c48733f939164ca103f97a06e5388197c51c41f9d7312343f1aca19488df7,2025-04-02 01:36:42,246,0.1405866,1,2,316.2977,316.1571
2241b9668e1a3f6407b9dd0ea3cf2289e1cd53963e4fda1a6cda29d090c1d9f6,2025-04-02 01:36:42,312,0.18063249,2,2,3.3791907,3.198558
d28b427e9992775ff21ef997dd82225b84210adfee4598af0042da6b7b4006f6,2025-04-02 01:36:42,330,0.13036212,1,1,0.41153532,0.2811732
033b32a02d8bbf58148942151e4da2e5cbe94f10e0eb6aa0a6c393aba57352f5,2025-04-02 01:36:42,329,0.13036212,1,1,0.41153532,0.2811732
667c009bc582ce74ad65ab0096326a0e54237b560446ac6ecd9ae6213423b3f4,2025-04-02 01:36:42,219,0.18659677,1,2,19008.055,19007.867
3822a14b07f7949bea8a570b195f8aaf34fef8ac9567b8df9d59812480cd00f4,2025-04-02 01:36:42,328,0.13036212,1,1,0.41153532,0.2811732
