nohup: ignoring input
Appended row: {'timestamp': '2025-04-23 18:32:56', 'price_usd': 93454, 'market_cap_usd': 1855711950177.5906, 'price_change_pct': 0}
Appended row: {'timestamp': '2025-04-23 18:33:57', 'price_usd': 93466, 'market_cap_usd': 1855553696722.917, 'price_change_pct': 0.00013}
Appended row: {'timestamp': '2025-04-23 18:34:57', 'price_usd': 93466, 'market_cap_usd': 1855553696722.917, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 18:35:57', 'price_usd': 93485, 'market_cap_usd': 1855553696722.917, 'price_change_pct': 0.0002}
Appended row: {'timestamp': '2025-04-23 18:36:57', 'price_usd': 93534, 'market_cap_usd': 1855553696722.917, 'price_change_pct': 0.00052}
Appended row: {'timestamp': '2025-04-23 18:37:58', 'price_usd': 93571, 'market_cap_usd': 1857375334763.2295, 'price_change_pct': 0.0004}
Appended row: {'timestamp': '2025-04-23 18:38:58', 'price_usd': 93571, 'market_cap_usd': 1857375334763.2295, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 18:39:58', 'price_usd': 93594, 'market_cap_usd': 1857375334763.2295, 'price_change_pct': 0.00025}
Appended row: {'timestamp': '2025-04-23 18:40:58', 'price_usd': 93603, 'market_cap_usd': 1858515407735.7805, 'price_change_pct': 0.0001}
Appended row: {'timestamp': '2025-04-23 18:41:59', 'price_usd': 93625, 'market_cap_usd': 1858515407735.7805, 'price_change_pct': 0.00024}
Appended row: {'timestamp': '2025-04-23 18:42:59', 'price_usd': 93625, 'market_cap_usd': 1858515407735.7805, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 18:43:59', 'price_usd': 93645, 'market_cap_usd': 1858515407735.7805, 'price_change_pct': 0.00021}
Appended row: {'timestamp': '2025-04-23 18:45:00', 'price_usd': 93675, 'market_cap_usd': 1859921539712.2114, 'price_change_pct': 0.00032}
Appended row: {'timestamp': '2025-04-23 18:46:00', 'price_usd': 93675, 'market_cap_usd': 1859921539712.2114, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 18:47:00', 'price_usd': 93704, 'market_cap_usd': 1859921539712.2114, 'price_change_pct': 0.00031}
Appended row: {'timestamp': '2025-04-23 18:48:00', 'price_usd': 93716, 'market_cap_usd': 1859921539712.2114, 'price_change_pct': 0.00013}
Appended row: {'timestamp': '2025-04-23 18:49:01', 'price_usd': 93739, 'market_cap_usd': 1861106076507.3254, 'price_change_pct': 0.00025}
Appended row: {'timestamp': '2025-04-23 18:50:01', 'price_usd': 93739, 'market_cap_usd': 1861106076507.3254, 'price_change_pct': 0.0}
Appended row: {'timestamp': '2025-04-23 18:51:01', 'price_usd': 93744, 'market_cap_usd': 1861106076507.3254, 'price_change_pct': 5e-05}
Appended row: {'timestamp': '2025-04-23 18:52:02', 'price_usd': 93760, 'market_cap_usd': 1861106076507.3254, 'price_change_pct': 0.00017}
