ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,moving_avg_price,volatility_15m
2025-04-20 23:12:26,113755.50608,84986.50739647237,85083.20761766536,113755.50608,113755.50608,-28719.939919476292,-28719.939919476292,-28719.939919476292,-28719.939919476292,-28719.939919476292,-28719.939919476292,0.0,0.0,0.0,85035.56616052371,,
2025-04-20 23:13:40,113758.59295484658,84990.81657232453,85090.01185314896,113758.59295484658,113758.59295484658,-28720.508275580207,-28720.508275580207,-28720.508275580207,-28720.508275580207,-28720.508275580207,-28720.508275580207,0.0,0.0,0.0,85038.08467926638,,
2025-04-20 23:21:06,113777.19763297596,85031.88748214077,85127.16297873181,113777.19763297596,113777.19763297596,-28700.1206328556,-28700.1206328556,-28700.1206328556,-28700.1206328556,-28700.1206328556,-28700.1206328556,0.0,0.0,0.0,85077.07700012036,,
2025-04-23 18:09:30,123809.70774246211,93357.45081193036,93458.32543275486,123809.70774246211,123809.70774246211,-30400.666749403572,-30400.666749403572,-30400.666749403572,-30400.666749403572,-30400.666749403572,-30400.666749403572,0.0,0.0,0.0,93409.04099305853,,
2025-04-23 18:10:31,123812.2523284843,93357.96204995668,93455.49559584301,123812.2523284843,123812.2523284843,-30406.495183816016,-30406.495183816016,-30406.495183816016,-30406.495183816016,-30406.495183816016,-30406.495183816016,0.0,0.0,0.0,93405.75714466829,,
2025-04-23 18:11:31,123814.75519998152,93351.11270494442,93452.16695105992,123814.75519998152,123814.75519998152,-30411.493789163407,-30411.493789163407,-30411.493789163407,-30411.493789163407,-30411.493789163407,-30411.493789163407,0.0,0.0,0.0,93403.26141081812,,
2025-04-23 18:12:31,123817.25807147875,93351.95840096388,93450.587500684,123817.25807147875,123817.25807147875,-30415.78931785052,-30415.78931785052,-30415.78931785052,-30415.78931785052,-30415.78931785052,-30415.78931785052,0.0,0.0,0.0,93401.46875362823,89824.32230601193,
2025-04-23 18:13:32,123819.80265750093,93350.44214928949,93452.92471755405,123819.80265750093,123819.80265750093,-30419.461012245887,-30419.461012245887,-30419.461012245887,-30419.461012245887,-30419.461012245887,-30419.461012245887,0.0,0.0,0.0,93400.34164525504,91019.29023240214,
2025-04-23 18:14:32,123822.30552899814,93346.89998175236,93447.93625339118,123822.30552899814,123822.30552899814,-30422.412949231475,-30422.412949231475,-30422.412949231475,-30422.412949231475,-30422.412949231475,-30422.412949231475,0.0,0.0,0.0,93399.89257976666,92213.83421818788,
2025-04-23 18:15:32,123824.80840049539,93353.20718216628,93450.08681912319,123824.80840049539,123824.80840049539,-30424.734593365014,-30424.734593365014,-30424.734593365014,-30424.734593365014,-30424.734593365014,-30424.734593365014,0.0,0.0,0.0,93400.07380713036,93402.83376204646,
2025-04-23 18:16:33,123827.35298651757,93354.96315940956,93449.99614071049,123827.35298651757,123827.35298651757,-30426.472752479047,-30426.472752479047,-30426.472752479047,-30426.472752479047,-30426.472752479047,-30426.472752479047,0.0,0.0,0.0,93400.88023403852,93401.66793932932,
2025-04-23 18:17:33,123829.85585801478,93352.9804511557,93453.45265216433,123829.85585801478,123829.85585801478,-30427.59355907542,-30427.59355907542,-30427.59355907542,-30427.59355907542,-30427.59355907542,-30427.59355907542,0.0,0.0,0.0,93402.26229893936,93401.16867565375,
2025-04-23 18:18:33,123832.35872951202,93351.76713606123,93455.74263133618,123832.35872951202,123832.35872951202,-30428.15285243459,-30428.15285243459,-30428.15285243459,-30428.15285243459,-30428.15285243459,-30428.15285243459,0.0,0.0,0.0,93404.20587707743,93401.30359940509,
2025-04-23 18:19:34,123834.9033155342,93358.0096130025,93458.39969410883,123834.9033155342,123834.9033155342,-30428.168428351957,-30428.168428351957,-30428.168428351957,-30428.168428351957,-30428.168428351957,-30428.168428351957,0.0,0.0,0.0,93406.73488718225,93402.05590419851,
2025-04-23 18:20:34,123837.40618703142,93360.22015563726,93458.88346475801,123837.40618703142,123837.40618703142,-30427.661539835903,-30427.661539835903,-30427.661539835903,-30427.661539835903,-30427.661539835903,-30427.661539835903,0.0,0.0,0.0,93409.74464719552,93403.39919019002,3458.647119468503
2025-04-23 18:21:34,123839.90905852866,93361.86089433,93459.79374104814,123839.90905852866,123839.90905852866,-30426.65789061498,-30426.65789061498,-30426.65789061498,-30426.65789061498,-30426.65789061498,-30426.65789061498,0.0,0.0,0.0,93413.25116791368,93405.30755992529,2936.9641897243855
2025-04-23 18:22:35,123842.45364455084,93366.25330493537,93468.55096613556,123842.45364455084,123842.45364455084,-30425.149465958984,-30425.149465958984,-30425.149465958984,-30425.149465958984,-30425.149465958984,-30425.149465958984,0.0,0.0,0.0,93417.30417859186,93407.76904156266,2150.344493611838
2025-04-23 18:23:35,123844.95651604806,93374.90616868518,93468.88414919762,123844.95651604806,123844.95651604806,-30423.206128422815,-30423.206128422815,-30423.206128422815,-30423.206128422815,-30423.206128422815,-30423.206128422815,0.0,0.0,0.0,93421.75038762524,93410.75049207507,6.685817964787556
