datetime,city,temperature_C,dew_point_C,humidity_percent,wind_speed_mps,pressure_hPa,wind_chill_C,lat,lon
2025-05-16 23:27:24,London,10.1,6.4,78,2.24,1023,9.1,,
2025-05-16 23:44:01,London,10.1,6.4,78,2.24,1023,9.1,,
2025-05-16 23:44:01,London,10.1,6.4,78,2.24,1023,9.1,,
2025-05-16 23:44:01,London,10.1,6.4,78,2.24,1023,9.1,,
2025-05-16 23:44:01,London,10.1,6.4,78,2.24,1023,9.1,,
2025-05-16 23:44:01,London,10.1,6.4,78,2.24,1023,9.1,,
2025-05-16 23:44:01,London,10.1,6.4,78,2.24,1023,9.1,,
2025-05-16 23:54:01,London,10.1,6.4,78,2.24,1023,9.1,,
2025-05-17 00:04:01,London,10.1,6.4,78,2.24,1023,9.1,,
2025-05-17 00:14:01,London,10.1,6.4,78,2.24,1023,9.1,,
2025-05-17 00:24:01,London,10.1,6.4,78,2.24,1023,9.1,,
2025-05-17 01:08:11,London,10.1,6.4,78,2.24,1023,9.1,,
2025-05-17 07:07:47,New York,18.05,16.7,93,0.45,1004,18.1,40.7143,-74.006
2025-05-17 07:09:21,London,10.75,5.8,75,2.68,1024,10.8,51.5085,-0.1257
2025-05-17 07:12:39,Tokyo,22.45,19.8,87,1.79,1007,22.4,35.6895,139.6917
2025-05-17 07:06:40,Delhi,44.0,25.8,9,7.0,1000,44.0,28.6667,77.2167
2025-05-17 08:03:47,New York,18.51,17.3,94,0.45,1004,18.5,40.7143,-74.006
2025-05-17 08:10:52,London,11.65,6.1,72,1.34,1023,11.7,51.5085,-0.1257
2025-05-17 08:11:20,Tokyo,21.84,19.0,86,9.39,1006,21.8,35.6895,139.6917
2025-05-17 08:06:54,Delhi,44.57,26.2,8,7.05,999,44.6,28.6667,77.2167
2025-05-17 09:06:50,New York,18.36,17.2,94,0.89,1004,18.4,40.7143,-74.006
2025-05-17 09:05:35,London,12.93,6.7,69,2.24,1023,12.9,51.5085,-0.1257
2025-05-17 09:04:59,Tokyo,22.53,19.3,84,2.68,1006,22.5,35.6895,139.6917
2025-05-17 09:05:59,Delhi,44.85,26.5,8,6.81,998,44.9,28.6667,77.2167
2025-05-17 10:08:34,New York,18.07,17.1,95,0.89,1003,18.1,40.7143,-74.006
2025-05-17 10:13:18,London,15.24,7.2,60,2.24,1023,15.2,51.5085,-0.1257
2025-05-17 10:06:08,Tokyo,22.32,18.9,83,1.79,1006,22.3,35.6895,139.6917
2025-05-17 10:00:59,Delhi,44.99,26.6,8,6.86,997,45.0,28.6667,77.2167
2025-05-17 11:06:01,New York,18.76,17.6,94,0.89,1003,18.8,40.7143,-74.006
2025-05-17 11:06:01,London,16.27,7.7,57,1.79,1023,16.3,51.5085,-0.1257
2025-05-17 11:09:43,Tokyo,21.73,17.9,81,11.12,1006,21.7,35.6895,139.6917
2025-05-17 11:05:01,Delhi,44.88,26.5,8,7.22,997,44.9,28.6667,77.2167
2025-05-17 12:03:50,New York,20.08,17.7,88,1.34,1003,20.1,40.7143,-74.006
2025-05-17 12:07:09,London,17.3,8.1,54,1.79,1022,17.3,51.5085,-0.1257
2025-05-17 12:11:26,Tokyo,21.73,17.9,81,9.26,1006,21.7,35.6895,139.6917
2025-05-17 12:12:26,Delhi,43.72,25.5,9,5.63,998,43.7,28.6667,77.2167
2025-05-17 13:03:35,New York,21.17,18.0,84,2.24,1003,21.2,40.7143,-74.006
2025-05-17 13:12:02,London,18.02,8.4,52,2.24,1022,18.0,51.5085,-0.1257
2025-05-17 13:04:24,Tokyo,20.73,17.3,83,8.02,1006,20.7,35.6895,139.6917
2025-05-17 13:11:41,Delhi,42.72,24.7,10,4.26,998,42.7,28.6667,77.2167
2025-05-17 15:17:52,New York,21.3,17.9,83,1.34,1002,21.3,40.7143,-74.006
2025-05-17 15:20:57,London,19.11,8.9,49,1.34,1021,19.1,51.5085,-0.1257
2025-05-17 15:18:00,Tokyo,22.8,19.2,82,0.89,1006,22.8,35.6895,139.6917
2025-05-17 15:22:53,Delhi,42.05,24.0,10,6.16,999,42.0,28.6667,77.2167
