source,author,title,description,url,urlToImage,publishedAt,content,fetched_date,date,hour,text,keywords
"{'id': None, 'name': 'Biztoc.com'}",cointelegraph.com,New Hampshire governor signs crypto reserve bill into law,"New Hampshire became the first US state to allow its government to invest in crypto currencies including Bitcoin (BTC), after Governor Kelly Ayotte signed a bill passed by the legislature into law.
In a May 6 notice, Ayotte announced on social media that New …",https://biztoc.com/x/e4bf20b5e86edee0,https://biztoc.com/cdn/e4bf20b5e86edee0_s.webp,2025-05-07 03:25:47+00:00,"New Hampshire became the first US state to allow its government to invest in crypto currencies including Bitcoin (BTC), after Governor Kelly Ayotte signed a bill passed by the legislature into law.In… [+157 chars]",2025-05-07,2025-05-07,3,"New Hampshire governor signs crypto reserve bill into law New Hampshire became the first US state to allow its government to invest in crypto currencies including Bitcoin (BTC), after Governor Kelly Ayotte signed a bill passed by the legislature into law.
In a May 6 notice, Ayotte announced on social media that New …","['hampshire', 'governor signs crypto reserve bill', 'hampshire', 'us state', 'crypto currencies', 'bitcoin', 'btc', 'kelly ayotte', 'ayotte', 'social media', 'new …']"
"{'id': None, 'name': 'newsBTC'}",Aayush Jindal,Ethereum Price Regains Traction—Can Bulls Break Through the Barrier?,"Ethereum price started a downside correction and tested the $1,750 zone. ETH is now rising and attempting a move above the $1,850 resistance. Ethereum started a fresh recovery wave above the $1,800 resistance. The price is trading above $1,800 and the 100-hou…",http://www.newsbtc.com/analysis/eth/ethereum-price-regains-traction-1750/,https://www.newsbtc.com/wp-content/uploads/2025/05/Ethereum-Price-Regains-Traction.jpg?fit=1792%2C1024,2025-05-07 03:18:12+00:00,"Strict editorial policy that focuses on accuracy, relevance, and impartiality
Created by industry experts and meticulously reviewed
The highest standards in reporting and publishing
Strict editori… [+2642 chars]",2025-05-07,2025-05-07,3,"Ethereum Price Regains Traction—Can Bulls Break Through the Barrier? Ethereum price started a downside correction and tested the $1,750 zone. ETH is now rising and attempting a move above the $1,850 resistance. Ethereum started a fresh recovery wave above the $1,800 resistance. The price is trading above $1,800 and the 100-hou…","['ethereum price regains traction—can bulls', 'barrier', 'ethereum', 'downside correction', 'eth', 'ethereum', 'fresh recovery wave']"
"{'id': None, 'name': 'Coinjournal.net'}",Deepali Singh,"Crypto news today: Bitcoin surges past $97K as US, China signal trade talk breakthrough","Bitcoin surged ~3% to $97,200 after US and China signaled upcoming trade talks in Switzerland. US Treasury Sec. Bessent & China’s Commerce Ministry confirmed willingness to engage on tariff issues. US stock futures (Nasdaq 100, S&P 500) jumped ~1% on the posi…",https://coinjournal.net/news/crypto-news-today-bitcoin-surges-past-97k-as-us-china-signal-trade-talk-breakthrough/,https://coinjournal.net/wp-content/uploads/2025/04/digital-assets-bitcoin-inflows.png,2025-05-07 02:48:22+00:00,"<ul><li>Bitcoin surged ~3% to $97,200 after US and China signaled upcoming trade talks in Switzerland.</li><li>US Treasury Sec. Bessent &amp; China’s Commerce Ministry confirmed willingness to engage… [+5079 chars]",2025-05-07,2025-05-07,2,"Crypto news today: Bitcoin surges past $97K as US, China signal trade talk breakthrough Bitcoin surged ~3% to $97,200 after US and China signaled upcoming trade talks in Switzerland. US Treasury Sec. Bessent & China’s Commerce Ministry confirmed willingness to engage on tariff issues. US stock futures (Nasdaq 100, S&P 500) jumped ~1% on the posi…","['crypto', 'bitcoin', 'china', 'signal trade talk breakthrough', 'bitcoin', 'china', 'switzerland', 'us treasury', 'sec', 'bessent', 'china', '’ s commerce', 'ministry', 'tariff issues', 'us stock futures', 'nasdaq']"
"{'id': None, 'name': 'Cointelegraph'}",Cointelegraph by Ciaran Lyons,Bitcoin must hold above $95K or face short-term rejection: Bitfinex,"Key takeaways:<ul><li>Bitcoin must maintain above $95,000 to have a chance at retesting its $109,000 all-time high; failure to hold could lead to a deeper correction, crypto analysts warn.
</li><li>Several crypto analysts told Cointelegraph in March that Bit…",https://cointelegraph.com/news/bitcoin-price-95k-hold-short-term-rejection-bitfinex-crypto-analysts,"https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=1200/https://s3.cointelegraph.com/uploads/2025-05/0196a7ea-4c8f-7c7f-9d18-0b03dd294ecb",2025-05-07 02:45:37+00:00,"Key takeaways:
<ul><li>Bitcoin must maintain above $95,000 to have a chance at retesting its $109,000 all-time high; failure to hold could lead to a deeper correction, crypto analysts warn.
</li><l… [+3433 chars]",2025-05-07,2025-05-07,2,"Bitcoin must hold above $95K or face short-term rejection: Bitfinex Key takeaways:<ul><li>Bitcoin must maintain above $95,000 to have a chance at retesting its $109,000 all-time high; failure to hold could lead to a deeper correction, crypto analysts warn.
</li><li>Several crypto analysts told Cointelegraph in March that Bit…","['bitcoin', 'short-term rejection', 'bitfinex key', '< ul > < li >', 'bitcoin', 'crypto analysts', '< /li > < li >', 'crypto analysts', 'cointelegraph', 'bit…']"
"{'id': None, 'name': 'newsBTC'}",Jake Simmons,Bitcoin Price Forecast: Key Scenarios For Tomorrow’s FOMC Decision,"With the Federal Open Market Committee set to announce its May 7 policy decision, Bitcoin traders face a macro‑driven inflection point that could define price action into the summer. The Federal Reserve, under Chair Jerome Powell, is all but certain to keep t…",http://www.newsbtc.com/bitcoin-news/bitcoin-price-forecast-scenarios-fomc/,https://www.newsbtc.com/wp-content/uploads/2023/07/iStock-1309546646.jpg?fit=2000%2C1500,2025-05-07 02:30:37+00:00,"Strict editorial policy that focuses on accuracy, relevance, and impartiality
Created by industry experts and meticulously reviewed
The highest standards in reporting and publishing
Strict editori… [+4788 chars]",2025-05-07,2025-05-07,2,"Bitcoin Price Forecast: Key Scenarios For Tomorrow’s FOMC Decision With the Federal Open Market Committee set to announce its May 7 policy decision, Bitcoin traders face a macro‑driven inflection point that could define price action into the summer. The Federal Reserve, under Chair Jerome Powell, is all but certain to keep t…","['bitcoin price forecast', 'key scenarios', 'fomc decision', 'federal open', 'market', 'policy decision', 'bitcoin', 'macro‑driven inflection point', 'price action', 'federal reserve', 'chair jerome powell']"
"{'id': None, 'name': 'newsBTC'}",Aayush Jindal,Bitcoin Price Bounces Back After Dip—Traders Eye Next Resistance Zone,"Bitcoin price started a downside correction and tested the $94,000 zone. BTC is again rising and might aim for a move toward the $98,000 resistance. Bitcoin started a decent increase above the $95,500 resistance zone. The price is trading above $95,500 and th…",http://www.newsbtc.com/analysis/btc/bitcoin-price-bounces-back-95k-2/,https://www.newsbtc.com/wp-content/uploads/2025/05/Bitcoin-Price-Bounces-Back-After-Dip.jpg,2025-05-07 02:30:34+00:00,"Strict editorial policy that focuses on accuracy, relevance, and impartiality
Created by industry experts and meticulously reviewed
The highest standards in reporting and publishing
Strict editori… [+2692 chars]",2025-05-07,2025-05-07,2,"Bitcoin Price Bounces Back After Dip—Traders Eye Next Resistance Zone Bitcoin price started a downside correction and tested the $94,000 zone. BTC is again rising and might aim for a move toward the $98,000 resistance. Bitcoin started a decent increase above the $95,500 resistance zone. The price is trading above $95,500 and th…","['bitcoin price bounces', 'dip—traders eye', 'resistance', 'bitcoin', 'downside correction', 'btc', 'bitcoin', 'decent increase', 'resistance zone']"
"{'id': None, 'name': 'Biztoc.com'}",bloomberg.com,Bitcoin Rises as US-China Trade Talks Spark Bullish Crypto Bets,,https://biztoc.com/x/77a8ac3721b5d2c8,https://biztoc.com/cdn/77a8ac3721b5d2c8_s.webp,2025-05-07 02:30:16+00:00,"{ window.open(this.href, '_blank'); }, 200); return false;""&gt;Why is DoorDash acquiring Deliveroo and SevenRooms? { window.open(this.href, '_blank'); }, 200); return false;""&gt;How will Trump's tari… [+979 chars]",2025-05-07,2025-05-07,2,Bitcoin Rises as US-China Trade Talks Spark Bullish Crypto Bets ,"['bitcoin rises', 'us-china', 'talks spark bullish crypto bets']"
"{'id': None, 'name': 'Cointelegraph'}",Cointelegraph by Stephen Katte,Democrats aim at Trump’s crypto profits with a 3-prong pincer move,US Democrat lawmakers have launched a multi-angle attack on President Donald Trump’s crypto ventures with two bills and a subcommittee inquiry aimed at cutting his ability to profit from the initiatives.   The Modern Emoluments and Malfeasance Enforcement Act…,https://cointelegraph.com/news/us-senator-proposes-bill-would-prevent-trump-from-profiting-from-memecoins,"https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=1200/https://s3.cointelegraph.com/uploads/2025-05/0196a7c8-fa2e-7003-8e4d-c407be1475af",2025-05-07 02:24:09+00:00,US Democrat lawmakers have launched a multi-angle attack on President Donald Trumps crypto ventures with two bills and a subcommittee inquiry aimed at cutting his ability to profit from the initiativ… [+3988 chars],2025-05-07,2025-05-07,2,Democrats aim at Trump’s crypto profits with a 3-prong pincer move US Democrat lawmakers have launched a multi-angle attack on President Donald Trump’s crypto ventures with two bills and a subcommittee inquiry aimed at cutting his ability to profit from the initiatives.   The Modern Emoluments and Malfeasance Enforcement Act…,"['trump', '’ s crypto profits', 'democrat', 'multi-angle attack', 'donald trump', '’ s crypto ventures', 'subcommittee inquiry', 'emoluments', 'malfeasance enforcement act…']"
"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,"Bitcoin, Ethereum, Dogecoin Spike As Scott Bessent's Gears Up For Trade Talks With China: Key BTC Stakeholders 'Moving In The Right Direction' Towards $100,000 Target, Says Analytics Firm","Leading cryptocurrencies spiked Tuesday on news that Treasury Secretary Scott Bessent will meet Chinese officials for trade talks.
Cryptocurrency
Gains +/-
Price (Recorded at 8:45 p.m. ET)
Bitcoin (CRYPTO: BTC)
+2.82%
$97,197.36
Ethereum (CRYPTO: ETH) 
+1.03%…",https://biztoc.com/x/35c1c844dc31280d,https://biztoc.com/cdn/35c1c844dc31280d_s.webp,2025-05-07 02:18:42+00:00,Leading cryptocurrencies spiked Tuesday on news that Treasury Secretary Scott Bessent will meet Chinese officials for trade talks.CryptocurrencyGains +/-Price (Recorded at 8:45 p.m. ET)Bitcoin (CRYPT… [+136 chars],2025-05-07,2025-05-07,2,"Bitcoin, Ethereum, Dogecoin Spike As Scott Bessent's Gears Up For Trade Talks With China: Key BTC Stakeholders 'Moving In The Right Direction' Towards $100,000 Target, Says Analytics Firm Leading cryptocurrencies spiked Tuesday on news that Treasury Secretary Scott Bessent will meet Chinese officials for trade talks.
Cryptocurrency
Gains +/-
Price (Recorded at 8:45 p.m. ET)
Bitcoin (CRYPTO: BTC)
+2.82%
$97,197.36
Ethereum (CRYPTO: ETH) 
+1.03%…","['bitcoin', 'ethereum', 'dogecoin spike', 'scott bessent', 'gears up', 'talks', 'china', 'key btc stakeholders', 'right direction', 'towards', 'target', 'says analytics', 'treasury secretary', 'scott bessent', 'chinese officials', 'cryptocurrency', 'gains +/-', 'price', 'recorded', 'bitcoin', 'crypto', 'btc', 'ethereum', 'crypto', 'eth']"
"{'id': None, 'name': 'pymnts.com'}",PYMNTS,Hacking Group Linked to Vegas Disruptions Suspected in Recent UK Retail Attacks,"A hacking group known as Scattered Spider, which previously caused significant disruption on the Las Vegas Strip, is suspected of being behind recent cyber intrusions targeting U.K. retailers, according to reporting by The Wall Street Journal (WSJ). London de…",https://www.pymnts.com/cybersecurity/2025/hacking-group-linked-to-vegas-disruptions-suspected-in-recent-uk-retail-attacks/,https://www.pymnts.com/wp-content/uploads/2025/05/harrods-hacker.jpg,2025-05-07 02:10:10+00:00,"A hacking group known as Scattered Spider, which previously caused significant disruption on the Las Vegas Strip, is suspected of being behind recent cyber intrusions targeting U.K. retailers, accord… [+2388 chars]",2025-05-07,2025-05-07,2,"Hacking Group Linked to Vegas Disruptions Suspected in Recent UK Retail Attacks A hacking group known as Scattered Spider, which previously caused significant disruption on the Las Vegas Strip, is suspected of being behind recent cyber intrusions targeting U.K. retailers, according to reporting by The Wall Street Journal (WSJ). London de…","['hacking', 'linked', 'vegas disruptions suspected', 'recent uk', 'scattered spider', 'significant disruption', 'las vegas', 'recent cyber intrusions', 'u.k.', 'wall', 'street journal', 'wsj', 'london']"
