keyword,frequency
bitcoin,1297
btc,492
trump,358
crypto,251
xrp,235
ethereum,182
u.s.,143
donald trump,136
eth,108
globe newswire,102
solana,99
sec,93
strategy,81
dogecoin,71
china,67
sol,58
coinbase,58
etf,56
doge,51
< /li > < li >,51
etfs,48
buy,47
tether,46
digital assets,44
mstr,43
fed,41
exchange commission,39
arizona,38
binance,38
nasdaq,38
ripple,36
wall,35
social media platform,35
ceo,34
< ul > < li >,34
crypto market,34
market,33
million,33
eric kim,33
crypto analyst,32
securities,32
cardano,32
white house,30
defi,30
world ’ s,30
happened,30
federal reserve,29
america,29
’ re,29
us president,29
york,28
elon musk,27
cryptocurrency market,27
bloomberg,27
ada,27
michael saylor,27
meme coin,26
cryptocurrency,26
billion,25
tesla,25
shiba inu,24
infinite-body warlord,24
canada,24
key,23
kim-style,23
block,23
u.s,22
asia,22
microstrategy,22
tariffs,22
google,22
apple,22
blackrock,22
ericbot—high-t,21
bitcoin etfs,21
xploradex,20
sui,20
coindesk,20
france,19
europe,19
cryptocurrency price,19
kraken,19
gains +/-,19
related reading,19
coldware,19
hampshire,19
powell,19
financial,18
crypto exchange,17
bnb,17
ether,17
fartcoin,16
protocol,16
doubt,16
netflix,16
congress,16
trade war,16
youtube,15
rally,15
new interview,15
warren buffett,15
global,15
stablecoins,15
market cap,15
key points,15
watch,15
bill,15
saylor,15
markets,15
switzerland,15
swiss national bank,15
shib,15
past week,15
stocks,14
going,14
korea,14
visa,14
pepe,13
stock market,13
xrp ledger,13
tech,13
data,13
top,13
research suggests,13
’ s price,13
cnbc,13
glassnode,13
xrpl,13
tariff,13
bitcoin mining,13
guest post,12
cryptoquant,12
key takeaways,12
buy according,12
bitwise,12
microsoft,12
u.s. securities,12
washington,12
metaplanet,12
silicon,12
amazon,12
isn ’ t,12
dubai,12
crypto assets,12
arthur hayes,11
read,11
bullish momentum,11
new all-time highs,11
panama,11
xpl,11
twenty,11
el salvador,11
link,11
capital,11
cold,11
xrp etf,11
amid,11
vaneck,11
softbank,11
price,11
california,11
australia,11
brazil,11
digital,11
