keyword,frequency,correlation,max_count,avg_count
bitcoin,1297,0.04889120733260362,68,44.724137931034484
btc,492,0.08983209467977014,25,16.96551724137931
trump,358,0.10608267289171974,29,12.344827586206897
crypto,251,0.03485997625472159,14,8.655172413793103
xrp,235,-0.07466480855600383,19,8.10344827586207
ethereum,182,0.057958892809695434,13,6.275862068965517
u.s.,143,0.1315736759557153,21,4.931034482758621
donald trump,136,-0.17234292336798218,10,5.037037037037037
eth,108,-0.2965699998640768,8,3.857142857142857
globe newswire,102,0.2689584688375695,9,3.7777777777777777
solana,99,-0.009339821436495397,12,3.5357142857142856
sec,93,0.03448452723176415,10,3.576923076923077
strategy,81,0.1348576330143363,16,3.5217391304347827
dogecoin,71,-0.1808702576953877,8,2.9583333333333335
china,67,-0.22616511563445324,10,3.35
coinbase,58,0.43662846393950067,10,3.411764705882353
sol,58,-0.17271604133356247,7,2.5217391304347827
etf,56,0.18651807069132958,7,2.4347826086956523
< /li > < li >,51,0.2551215220634603,9,3.642857142857143
doge,51,-0.3111241158578869,5,1.9615384615384615
etfs,48,-0.3396721651127029,5,2.2857142857142856
buy,47,0.0419303287524143,6,2.0434782608695654
tether,46,0.3428853174602928,9,3.8333333333333335
digital assets,44,0.09674248143926101,5,2.3157894736842106
mstr,43,-0.2738423913648118,8,2.6875
fed,41,-0.0039498712458977195,6,1.8636363636363635
exchange commission,39,-0.023667839647446468,5,1.95
arizona,38,0.2793148449277523,11,6.333333333333333
nasdaq,38,0.3666356037595532,8,2.375
binance,38,0.1923669968472851,4,2.235294117647059
ripple,36,-0.03219473614674026,3,1.8
social media platform,35,0.15640464649413646,3,1.75
wall,35,-0.049052149249037905,5,1.9444444444444444
crypto market,34,-0.1750235414911236,5,1.7
ceo,34,0.42518284758150865,4,1.7
< ul > < li >,34,0.4534488555518561,5,2.4285714285714284
market,33,0.19271219226845343,4,1.5714285714285714
eric kim,33,-0.06839363507588549,6,3.0
million,33,0.023607769494654575,4,1.5714285714285714
securities,32,-0.02763860941848555,5,1.8823529411764706
crypto analyst,32,-0.11379749600995183,3,1.5238095238095237
cardano,32,0.4088297984072657,4,2.4615384615384617
