time,price,datetime,date
20:55:00.205453,103657,2025-05-16 20:55:00.205453,2025-05-16
20:56:00.356717,103655,2025-05-16 20:56:00.356717,2025-05-16
20:57:00.544954,103655,2025-05-16 20:57:00.544954,2025-05-16
20:58:00.707185,103610,2025-05-16 20:58:00.707185,2025-05-16
21:17:48.213263,103692,2025-05-16 21:17:48.213263,2025-05-16
21:18:48.384708,103691,2025-05-16 21:18:48.384708,2025-05-16
21:19:48.577081,103683,2025-05-16 21:19:48.577081,2025-05-16
21:20:48.755505,103678,2025-05-16 21:20:48.755505,2025-05-16
21:21:50.138372,103676,2025-05-16 21:21:50.138372,2025-05-16
21:22:50.254317,103710,2025-05-16 21:22:50.254317,2025-05-16
21:23:50.384308,103708,2025-05-16 21:23:50.384308,2025-05-16
21:24:50.512712,103705,2025-05-16 21:24:50.512712,2025-05-16
21:25:50.704720,103703,2025-05-16 21:25:50.704720,2025-05-16
21:26:50.870411,103698,2025-05-16 21:26:50.870411,2025-05-16
21:27:51.158508,103694,2025-05-16 21:27:51.158508,2025-05-16
21:28:51.427309,103686,2025-05-16 21:28:51.427309,2025-05-16
21:29:51.681253,103684,2025-05-16 21:29:51.681253,2025-05-16
21:30:51.880342,103679,2025-05-16 21:30:51.880342,2025-05-16
21:31:51.977311,103677,2025-05-16 21:31:51.977311,2025-05-16
21:32:52.136420,103677,2025-05-16 21:32:52.136420,2025-05-16
21:33:52.271321,103677,2025-05-16 21:33:52.271321,2025-05-16
21:34:52.428668,103670,2025-05-16 21:34:52.428668,2025-05-16
21:35:52.800203,103655,2025-05-16 21:35:52.800203,2025-05-16
21:36:53.076919,103663,2025-05-16 21:36:53.076919,2025-05-16
21:37:53.190065,103680,2025-05-16 21:37:53.190065,2025-05-16
21:38:53.345837,103682,2025-05-16 21:38:53.345837,2025-05-16
21:39:53.544272,103682,2025-05-16 21:39:53.544272,2025-05-16
21:40:53.704433,103677,2025-05-16 21:40:53.704433,2025-05-16
21:41:53.811592,103676,2025-05-16 21:41:53.811592,2025-05-16
21:42:53.944784,103678,2025-05-16 21:42:53.944784,2025-05-16
21:43:54.115227,103677,2025-05-16 21:43:54.115227,2025-05-16
21:44:54.276874,103685,2025-05-16 21:44:54.276874,2025-05-16
21:45:54.517769,103713,2025-05-16 21:45:54.517769,2025-05-16
21:46:54.714054,103719,2025-05-16 21:46:54.714054,2025-05-16
21:47:54.897917,103718,2025-05-16 21:47:54.897917,2025-05-16
21:48:55.050969,103709,2025-05-16 21:48:55.050969,2025-05-16
21:49:55.258393,103705,2025-05-16 21:49:55.258393,2025-05-16
21:50:55.427844,103704,2025-05-16 21:50:55.427844,2025-05-16
21:51:55.683747,103708,2025-05-16 21:51:55.683747,2025-05-16
