Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Matheus Sena,@MatheusSena_2,2025-04-24T19:38:02.000Z,False,"Só curiosidade minha msm já que nunca vou chegar nem perto de ter 0,1% de Bitcoin.",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1908394517377536000/TWFbiPU9_bigger.jpg,https://x.com/MatheusSena_2/status/1915490434647835123,tweet_id:1915490434647835123
Jesús D. Vázquez,@jesusvazquezbr,2025-04-24T19:38:02.000Z,False,Hablas de #bitcoin? #SUI? #Trump? Todas?,0,0,0,0,"['#bitcoin', '#SUI', '#Trump']",[],[],https://pbs.twimg.com/profile_images/1910766571519111168/SswcmdDG_bigger.jpg,https://x.com/jesusvazquezbr/status/1915490434475819313,tweet_id:1915490434475819313
Bitcoin Reply Girl,@ggb2kk,2025-04-24T19:37:58.000Z,True,Let's get it. You'd be better off studying bitcoin though,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1867023661888073728/7oRJGdMn_bigger.jpg,https://x.com/ggb2kk/status/1915490418344812627,tweet_id:1915490418344812627
W⊕ям™,@WormChester33,2025-04-24T19:37:57.000Z,True," - CRYPTO NEWS -  SoftBank Is Buying Bitcoin Again, After $130M Loss in 2018. Is This Time Different?  https://coindesk.com/markets/2025/04/24/softbank-is-buying-bitcoin-why-bulls-should-be-worried…",0,0,0,0,[],[],"['\\U0001f525', '\\U0001f525', '\\U0001f525', '\\U0001f525', '\\U0001f525', '\\U0001f525']",https://pbs.twimg.com/profile_images/1909647786913472512/4MPek4jf_bigger.jpg,https://x.com/WormChester33/status/1915490416087990342,tweet_id:1915490416087990342
BitKong | Steve SandersMaking Bitcoin Simple,@attorneysanders,2025-04-24T19:37:55.000Z,True,,0,0,0,1,[],[],['\\U0001f440'],https://pbs.twimg.com/profile_images/1482914518833549335/3u3V8OT-_bigger.jpg,https://x.com/attorneysanders/status/1915490405212160035,tweet_id:1915490405212160035
Simply Bitcoin,@SimplyBitcoinTV,2025-04-24T19:37:53.000Z,True,Not owning Bitcoin is a risk to national security.,0,0,0,19,[],[],[],https://pbs.twimg.com/profile_images/1832112477003243521/0Oflh1fM_bigger.jpg,https://x.com/SimplyBitcoinTV/status/1915490398983573995,tweet_id:1915490398983573995
Gareth Jenkinson,@gazza_jenks,2025-04-24T19:37:52.000Z,True,Just want to be more consistent with great interviews and takeaways! I am very keen to focus on Bitcoin for payments and not just a store of value. Something a lot of people forget about,0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/1783379172385067008/FLE3xIji_bigger.jpg,https://x.com/gazza_jenks/status/1915490394235654302,tweet_id:1915490394235654302
Bubba,@coolbeansranch,2025-04-24T19:37:50.000Z,False,Remember when corp. And govts and govts printed money were the antithesis of Bitcoin. Wow those were heady days friend. Good times. Decentralized. Fuck you system days.,0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1426204092888588301/1HoYV9Yn_bigger.jpg,https://x.com/coolbeansranch/status/1915490386900131941,tweet_id:1915490386900131941
Kendrick,@kend3138,2025-04-24T19:37:49.000Z,False,"#GUNUSDTShort

Entry: 0.061

Target 1: 0.057Target 2: 0.055Target 3: 0.053Target 4: 0.051",0,0,0,0,"['#GUNUSDT', '', '', '', '', '', '', '', '', '', '']",[],"['\\u2705', '\\u2705', '\\u2705', '\\u2705']",https://pbs.twimg.com/profile_images/1908954793961254912/qk9C1bC7_bigger.jpg,https://x.com/kend3138/status/1915490380524773694,tweet_id:1915490380524773694
SM,@Suh41l20,2025-04-24T19:37:48.000Z,False,"I don’t know but i think bitcoin will pump towards 100k soon so market and memes will follow , maneki will follow too, these guys will want to dump during the Mania aswell",0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1860533657477296129/Yyh8Msv9_bigger.jpg,https://x.com/Suh41l20/status/1915490375420268889,tweet_id:1915490375420268889
