sasdate,RPI,W875RX1,DPCERA3M086SBEA,CMRMTSPLx,RETAILx,INDPRO,IPFPNSS,IPFINAL,IPCONGD,IPDCONGD,IPNCONGD,IPBUSEQ,IPMAT,IPDMAT,IPNMAT,IPMANSICS,IPB51222S,IPFUELS,CUMFNS
Transform:,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0
1/1/1959,2583.56,2426.0,15.188,276676.8154,18235.77392,21.9665,23.3891,22.2688,31.7011,19.0149,38.1501,8.0434,20.0387,11.9952,30.6591,20.8382,19.9173,34.6654,80.1973
2/1/1959,2593.596,2434.8,15.346,278713.9773,18369.56308,22.3966,23.7048,22.4617,31.9337,19.1147,38.5147,8.151,20.6733,12.5477,31.1959,21.2213,19.8631,34.1932,81.4428
3/1/1959,2610.396,2452.7,15.491,277775.2539,18523.05762,22.7193,23.8483,22.5719,31.9337,19.489,38.3324,8.2391,21.2103,13.042,31.6645,21.5533,19.9986,35.0589,82.4769
4/1/1959,2627.446,2470.0,15.435,283362.7075,18534.466,23.2032,24.1927,22.9026,32.4374,19.6138,38.9705,8.4544,21.7961,13.4346,32.6452,22.013,20.0799,34.9015,83.9922
5/1/1959,2642.72,2486.4,15.622,285307.2201,18679.66354,23.5528,24.3936,23.1231,32.5925,20.013,38.9705,8.7284,22.3575,13.8999,32.9385,22.3194,20.3779,34.2326,84.9159
6/1/1959,2650.841,2493.9,15.679,285279.593,18849.75209,23.5797,24.5658,23.2885,32.4375,20.1628,38.6971,8.9338,22.211,13.7981,32.8397,22.3449,20.4864,34.2326,84.7686
7/1/1959,2649.304,2492.0,15.626,288768.1868,18843.52934,23.015,24.5945,23.4814,32.8637,20.562,39.0161,8.9534,20.893,12.4168,32.9954,21.9363,20.7573,33.4456,82.9798
8/1/1959,2634.369,2477.7,15.72,273993.2729,18963.83587,22.2353,24.4223,23.4263,32.9025,19.9881,39.4719,8.8751,19.3065,10.9192,32.8738,21.0681,20.8928,33.9965,79.4676
9/1/1959,2636.381,2477.7,15.878,278039.483,18715.96293,22.2084,24.3075,23.3436,32.7863,19.3892,39.6998,8.8066,19.2821,10.8756,32.9171,21.017,21.3264,33.7604,79.0489
10/1/1959,2639.735,2480.6,15.77,278490.1725,18852.86346,22.0471,24.2501,23.2334,32.6312,19.8384,39.1985,8.7381,19.0868,10.7011,32.3029,20.8383,21.3806,33.5637,78.1537
11/1/1959,2659.765,2497.2,15.763,268450.0374,18356.08045,22.1816,23.9918,22.8475,31.9337,17.3929,39.7454,8.6011,19.8435,11.4136,32.3576,20.9915,21.5161,34.8621,78.5051
12/1/1959,2687.012,2525.8,15.745,282104.7801,18271.03618,23.5528,24.7093,23.3987,32.98,19.6138,39.8821,8.7284,21.9669,13.5073,33.1609,22.4215,21.5974,34.39,83.5682
1/1/1960,2695.694,2537.6,15.789,286930.9859,18763.67069,24.1712,25.3119,24.0877,34.0264,21.7598,40.0644,9.0513,22.6016,14.0452,33.6702,23.0344,21.4077,33.9572,85.5616
2/1/1960,2698.789,2539.9,15.858,291093.6977,18833.15808,23.9561,25.1684,24.0051,33.6388,21.4604,39.6542,9.11,22.3087,13.8126,33.4639,22.8557,21.3806,34.3113,84.6108
3/1/1960,2703.859,2542.2,16.083,283044.8908,18812.41558,23.741,25.0823,23.9775,33.6776,21.0362,40.0189,9.1296,21.9425,13.3764,33.4785,22.5748,22.1936,34.6654,83.2421
4/1/1960,2713.243,2551.4,16.331,285847.3937,19306.08721,23.5528,25.1398,24.0051,33.9101,21.0112,40.4291,9.0317,21.43,12.8966,33.1853,22.396,22.2206,35.7278,82.2593
5/1/1960,2719.777,2557.6,16.002,276978.5849,19017.76638,23.5259,25.2832,24.1704,34.1039,21.2108,40.5658,9.0611,21.2347,12.7221,33.2372,22.2683,21.9497,34.7441,81.4711
