timestamp,sensor_400649_mph,sensor_400715_mph,sensor_400240_mph,sensor_403329_mph,sensor_400436_mph,sensor_400221_mph,sensor_404370_mph,sensor_400268_mph,sensor_401555_mph,sensor_400052_mph,sensor_400461_mph,sensor_400750_mph,sensor_400148_mph,sensor_400336_mph,sensor_400713_mph,sensor_400485_mph,sensor_400822_mph,sensor_400464_mph,sensor_400688_mph
2017-01-01 00:00:00,71.4,67.8,70.5,67.4,68.8,66.6,66.8,68.0,66.8,69.0,68.2,67.7,67.7,68.7,67.5,68.4,68.0,68.1,68.8
2017-01-01 00:05:00,71.6,67.5,70.6,67.5,68.7,66.6,66.8,67.8,66.5,68.2,68.0,67.4,67.5,69.2,67.7,68.1,67.8,67.9,68.4
2017-01-01 00:10:00,71.6,67.6,70.2,67.4,68.7,66.1,66.8,67.8,66.2,67.8,67.9,67.4,67.6,68.7,67.2,68.0,67.8,67.5,68.4
2017-01-01 00:15:00,71.1,67.5,70.3,68.0,68.5,66.7,66.6,67.7,65.9,67.8,67.9,67.4,67.5,68.6,67.6,68.4,67.7,67.5,68.4
2017-01-01 00:20:00,71.7,67.8,70.2,68.1,68.4,66.9,66.1,67.7,66.1,67.8,67.8,67.4,67.6,68.2,67.2,68.1,67.7,67.7,68.4
2017-01-01 00:25:00,71.2,67.4,70.3,67.5,68.4,66.5,65.3,67.8,66.4,68.1,67.8,67.7,67.6,68.6,67.2,68.1,67.8,67.2,68.3
2017-01-01 00:30:00,71.3,67.6,70.1,67.2,68.5,66.8,65.7,67.8,66.7,68.4,67.8,67.5,67.5,68.3,66.9,68.4,67.8,67.2,68.3
2017-01-01 00:35:00,70.5,67.6,70.6,68.1,68.4,66.4,66.6,67.8,66.3,68.4,67.9,67.3,67.5,68.4,67.5,68.0,67.8,67.3,68.3
2017-01-01 00:40:00,71.5,67.5,70.5,67.6,68.3,66.5,66.4,67.8,66.6,68.3,67.9,67.1,67.4,68.4,67.7,68.1,67.8,68.4,68.3
2017-01-01 00:45:00,70.7,67.4,70.5,68.3,68.5,66.1,66.5,67.8,66.7,68.4,67.9,67.0,67.5,69.1,67.1,68.4,67.8,67.3,68.3
2017-01-01 00:50:00,71.5,67.5,70.7,67.2,68.4,67.1,66.0,67.7,66.1,68.2,67.8,67.6,67.3,69.1,66.8,68.2,67.7,67.2,68.4
2017-01-01 00:55:00,70.9,67.4,70.5,67.2,68.3,66.0,67.0,67.7,66.7,68.3,67.9,67.2,67.5,68.2,67.2,67.4,67.7,67.2,68.4
2017-01-01 01:00:00,71.0,67.2,70.3,66.8,68.3,66.3,66.7,67.7,65.9,68.1,67.9,67.0,67.5,68.8,67.1,67.5,67.7,67.7,68.4
2017-01-01 01:05:00,71.3,67.9,70.1,67.1,68.4,65.9,66.7,67.7,66.3,67.7,67.7,67.5,67.4,69.1,66.9,67.9,67.7,67.4,68.3
2017-01-01 01:10:00,71.6,67.6,70.3,67.5,68.4,66.6,66.7,67.7,66.4,68.0,67.7,66.9,67.3,68.6,67.0,68.0,67.7,68.1,68.2
2017-01-01 01:15:00,71.5,68.1,70.2,66.8,68.4,67.1,66.4,67.6,66.4,67.9,67.7,67.0,67.4,68.0,67.2,68.3,67.6,67.9,68.3
2017-01-01 01:20:00,71.7,67.7,70.3,67.4,68.5,66.9,66.8,67.7,66.5,67.8,67.8,67.4,67.4,68.4,67.0,67.4,67.7,67.2,68.2
2017-01-01 01:25:00,70.9,68.0,70.3,67.5,68.3,65.9,66.7,67.6,65.5,68.0,67.8,67.4,67.4,68.4,66.4,67.5,67.6,67.8,68.4
2017-01-01 01:30:00,71.3,67.4,70.0,67.4,68.3,66.5,66.4,67.7,66.1,68.1,67.7,66.8,67.8,68.0,66.7,68.1,67.7,66.5,68.3
2017-01-01 01:35:00,71.2,67.5,70.4,67.3,68.3,67.2,66.6,67.6,66.7,67.8,67.8,67.4,67.6,68.0,67.0,67.5,67.6,67.3,68.3
2017-01-01 01:40:00,71.0,67.5,70.1,67.2,68.5,66.7,66.6,67.6,66.2,68.0,67.6,67.3,67.6,68.5,66.9,68.2,67.6,66.8,68.1
2017-01-01 01:45:00,70.6,67.2,70.2,67.4,68.4,66.3,66.8,67.5,65.9,67.7,67.7,67.1,67.5,68.2,67.5,68.0,67.5,67.7,68.2
2017-01-01 01:50:00,70.9,67.3,70.1,67.1,68.3,66.5,66.2,67.6,66.4,67.6,67.6,67.1,67.7,68.6,67.6,67.5,67.6,68.0,68.3
2017-01-01 01:55:00,71.2,67.1,70.0,68.0,68.3,66.1,66.1,67.6,65.9,68.6,67.6,66.9,67.6,68.9,66.8,67.8,67.6,67.1,68.3
2017-01-01 02:00:00,70.9,67.9,69.9,67.1,68.3,66.8,66.4,67.8,65.7,68.2,67.9,66.8,67.5,69.0,66.9,67.5,67.8,67.0,68.3
2017-01-01 02:05:00,70.9,67.7,69.6,67.0,68.3,66.8,66.3,67.6,65.8,68.7,67.6,66.6,67.3,68.1,67.0,68.0,67.6,67.5,68.2
2017-01-01 02:10:00,71.1,67.8,69.9,67.5,68.4,66.6,66.8,67.5,65.4,68.6,67.6,66.6,67.5,67.9,67.1,67.5,67.5,67.7,68.5
2017-01-01 02:15:00,71.2,67.8,70.2,67.6,68.4,66.4,66.1,67.7,66.5,67.8,67.7,66.9,67.3,67.5,67.0,67.4,67.7,67.6,68.5
2017-01-01 02:20:00,70.7,68.0,70.3,67.3,68.3,66.3,66.1,67.7,68.9,68.2,67.7,66.6,67.4,67.5,66.3,67.6,67.7,67.6,68.6
2017-01-01 02:25:00,70.6,67.2,70.2,67.6,68.4,66.2,66.7,67.7,68.0,68.3,67.7,66.6,67.6,67.4,66.5,67.6,67.7,67.6,68.5
2017-01-01 02:30:00,71.3,67.5,70.3,67.0,68.4,66.2,66.5,67.6,68.0,68.0,67.7,66.8,67.3,67.4,66.8,68.3,67.6,67.5,68.4
2017-01-01 02:35:00,71.0,67.6,70.3,67.2,68.4,65.8,65.5,67.6,68.0,68.4,67.7,67.5,67.1,66.9,66.9,68.5,67.6,67.4,68.4
2017-01-01 02:40:00,71.0,68.3,70.4,67.1,68.2,65.6,66.1,67.7,71.1,67.9,67.7,67.0,67.1,67.5,66.8,68.7,67.7,67.7,68.3
2017-01-01 02:45:00,70.6,68.3,70.1,67.3,68.4,66.0,66.2,67.6,65.1,68.3,67.8,67.3,67.4,67.5,66.0,68.3,67.6,66.9,68.2
